Layer Error,Layer Number,Layer Height,Material Type,Extrusion Temperature,Print Speed,Layer Adhesion Quality,Infill Density,Infill Pattern,Shell Thickness,Overhang Angle,Cooling Fan Speed,Retraction Settings,Z-Offset Adjustment,Print Bed Temperature,Layer Time,file_name,image url
TEMP_OUT_OF_RANGE,12,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_7sec,fl_layer_200011.png,https://drive.google.com/uc?export=download&id=11LHDnB-whkepUosbTPFkKQ_y3sEyrCwx
SUCCESS,13,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_6sec,fl_layer_200012.png,https://drive.google.com/uc?export=download&id=1RVjV88xuiD3NdrKA0QqnSMmXwpkmpAsD
SUCCESS,14,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_5sec,fl_layer_200013.png,https://drive.google.com/uc?export=download&id=15gUESvtjj1lj0YpFYQkXcwRygyrde-CH
SUCCESS,15,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_4sec,fl_layer_200014.png,https://drive.google.com/uc?export=download&id=12Qix8auQ4vswQcQE43AKe8ELiu5a5bzW
SUCCESS,16,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_3sec,fl_layer_200015.png,https://drive.google.com/uc?export=download&id=17I6i4_LbWROnEXlRqKuvxtonnicuf6NK
SUCCESS,17,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_2sec,fl_layer_200016.png,https://drive.google.com/uc?export=download&id=1bkWeG4pGKBMu-jOs2druqfz-EvGrslUr
SUCCESS,18,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_1sec,fl_layer_200017.png,https://drive.google.com/uc?export=download&id=1CEujy2FoMT8vwFsc-H4s9m8gbo_jo46o
SUCCESS,19,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_0sec,fl_layer_200018.png,https://drive.google.com/uc?export=download&id=1VE8On8aYVx-5_f0sUbGOf3zAlc-pgY5s
SUCCESS,20,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200019.png,https://drive.google.com/uc?export=download&id=1XZnEG2hpfJNaiYEiNBC8112Ju_pFZzox
SUCCESS,21,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_12sec,fl_layer_200020.png,https://drive.google.com/uc?export=download&id=1HeX-cwvuEUGHkimIx6njHc1r_bfUOYDY
SUCCESS,22,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_15sec,fl_layer_200021.png,https://drive.google.com/uc?export=download&id=1e7WxlqhrCY-stxqeUj8UyFpbITzNqb6v
SUCCESS,23,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_14sec,fl_layer_200022.png,https://drive.google.com/uc?export=download&id=1kPRA_dQb70P9oYXFylVm_eHFpETBFLZ5
SUCCESS,24,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_13sec,fl_layer_200023.png,https://drive.google.com/uc?export=download&id=1JflRg8hrG7Yr_KwsxcnrpSTtBHNvd9uv
SUCCESS,25,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_16sec,fl_layer_200024.png,https://drive.google.com/uc?export=download&id=1MLO8b3s-FSi5E2KRkU3osRYR_YusINfY
SUCCESS,26,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_17sec,fl_layer_200025.png,https://drive.google.com/uc?export=download&id=1cdALSc_rhUIvvOY-61x3HOdHo5ERQez3
SUCCESS,27,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_18sec,fl_layer_200026.png,https://drive.google.com/uc?export=download&id=16Tj6GMM7eV_PWPW3ejyDcVraHd8zd7he
SUCCESS,28,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_11sec,fl_layer_200027.png,https://drive.google.com/uc?export=download&id=1JUHLzJvyJpnLJ8N254FPz2ZSZ1vpzTRL
SUCCESS,29,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200028.png,https://drive.google.com/uc?export=download&id=1MtWJon3abcOYeixPJE68WBDWUpb79Rip
SUCCESS,30,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_9sec,fl_layer_200029.png,https://drive.google.com/uc?export=download&id=1R8VqQ2O1BeHh8aLNpiz4gqKUs81n07AQ
SUCCESS,31,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_8sec,fl_layer_200030.png,https://drive.google.com/uc?export=download&id=1SUS95ojJBHh6GZaluMPmF9n9RkGIY2Cf
SUCCESS,32,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_7sec,fl_layer_200031.png,https://drive.google.com/uc?export=download&id=1kEJuxLwI_0ngGc2PXAUZigvhZpjkt7dQ
SUCCESS,33,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_6sec,fl_layer_200032.png,https://drive.google.com/uc?export=download&id=1NDkg2Sznv-z4YMa7oQvawbZSNAPNKk2x
SUCCESS,34,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_5sec,fl_layer_200033.png,https://drive.google.com/uc?export=download&id=1UDWq0cPqswS55sk2Nj1pZsN_JMAhR6hk
SUCCESS,35,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_4sec,fl_layer_200034.png,https://drive.google.com/uc?export=download&id=1znM782xSdrF9QfUP3Z_pqPUla_6XR59Z
SUCCESS,36,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_3sec,fl_layer_200035.png,https://drive.google.com/uc?export=download&id=1EqgdivR8eHksbElnjDyz2San7Pst2QeP
SUCCESS,37,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_2sec,fl_layer_200036.png,https://drive.google.com/uc?export=download&id=1mYnq0uL8Cvp2RsB_7vBdjX8IuU9Lymzd
SUCCESS,38,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_1sec,fl_layer_200037.png,https://drive.google.com/uc?export=download&id=17dpu_h9qP6DSV5rTXZ_owslQtYxnILwq
SUCCESS,39,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_0sec,fl_layer_200038.png,https://drive.google.com/uc?export=download&id=1B7OPexyL5mpqme7kXiv14BmbXUVbYkK2
SUCCESS,40,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200039.png,https://drive.google.com/uc?export=download&id=1Ucq2AB3xZ7A97HEF37pX4_L2PKgoD5By
SUCCESS,41,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_12sec,fl_layer_200040.png,https://drive.google.com/uc?export=download&id=1o3pQtfLO2x-qAu8YJ_hEX2VnyU-YsHcf
SUCCESS,42,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_15sec,fl_layer_200041.png,https://drive.google.com/uc?export=download&id=19bQ1yNJgYXexkQZA0DF2h2VDTyCBmCcF
SUCCESS,43,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_14sec,fl_layer_200042.png,https://drive.google.com/uc?export=download&id=1SVYEx8fePnU2ipbDv8LKEplPlRLWIeRG
SUCCESS,44,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_13sec,fl_layer_200043.png,https://drive.google.com/uc?export=download&id=1-D-X0KrYoTvyJgtB4j0yg-Hv2ZNxPGGW
SUCCESS,45,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_16sec,fl_layer_200044.png,https://drive.google.com/uc?export=download&id=1J33ppuQYVUzkkAUfFOUuqHyWx-0LlFx9
SUCCESS,46,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_17sec,fl_layer_200045.png,https://drive.google.com/uc?export=download&id=1l6FyfH-RtzphnDCsBN4AH3npgub5yUZ7
SUCCESS,47,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_18sec,fl_layer_200046.png,https://drive.google.com/uc?export=download&id=1NkT17_zJEszgId_FU-yCGigkW3ZbKg3q
SUCCESS,48,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_11sec,fl_layer_200047.png,https://drive.google.com/uc?export=download&id=1SRPLNlKKjrOfC6czL-BuDqwN-qiXubeQ
SUCCESS,49,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200048.png,https://drive.google.com/uc?export=download&id=1fzj1zVcltqi9GyFySoioJWVyDkKe8REF
SUCCESS,50,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_9sec,fl_layer_200049.png,https://drive.google.com/uc?export=download&id=1lJqW-E8o_hqx8flFn26ksoelJqgk6W_N
SUCCESS,51,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_8sec,fl_layer_200050.png,https://drive.google.com/uc?export=download&id=1OX5UV3jZyByO4afwUHJ6LwG3dlcgXqdR
SUCCESS,52,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_7sec,fl_layer_200051.png,https://drive.google.com/uc?export=download&id=1jjmv7Y4s16ygX-seArpKjbKUvbG8BbIj
SUCCESS,53,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_6sec,fl_layer_200052.png,https://drive.google.com/uc?export=download&id=1Tang5y1aI-tEgQ-v_6T5B6eDyh3cpC1_
SUCCESS,54,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_5sec,fl_layer_200053.png,https://drive.google.com/uc?export=download&id=1KJDrs6dVyjTrZEYwVBBfS4GxenZ4ZUwY
SUCCESS,55,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_4sec,fl_layer_200054.png,https://drive.google.com/uc?export=download&id=1zLuFriJgVQLr-Hz7u9-_bbjCirSo_T7t
SUCCESS,56,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_3sec,fl_layer_200055.png,https://drive.google.com/uc?export=download&id=1pAaH-fcyHtlKf6yPa-z89Pb56Ovvx1Jh
SUCCESS,57,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_2sec,fl_layer_200056.png,https://drive.google.com/uc?export=download&id=1aYuiFw5f7_DeS3AECM6bf5YdEC0kxtie
SUCCESS,58,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_1sec,fl_layer_200057.png,https://drive.google.com/uc?export=download&id=1fdiUnGXQvMs6iyHTQWjWzLrT3khOyezE
SUCCESS,59,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_0sec,fl_layer_200058.png,https://drive.google.com/uc?export=download&id=18Oh8poilZKesLehXRza9WbgJaVnjkTZD
SUCCESS,60,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200059.png,https://drive.google.com/uc?export=download&id=1B_vrT3xS0yiwJAQ_w_LmL0HSJu-tyQvj
SUCCESS,61,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_12sec,fl_layer_200060.png,https://drive.google.com/uc?export=download&id=1l5Mo36Dx8iVQBvjeRsAfq8OgyDbh2XmI
SUCCESS,62,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_15sec,fl_layer_200061.png,https://drive.google.com/uc?export=download&id=1-2Etk6VQeIaOV_zQAg9gKMHmoDt847s1
SUCCESS,63,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_14sec,fl_layer_200062.png,https://drive.google.com/uc?export=download&id=1CU-urD2wyhOH8ooVCnnIeUJbuz-GnLDN
SUCCESS,64,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_13sec,fl_layer_200063.png,https://drive.google.com/uc?export=download&id=1lfw5DYmrSfWj4Jv6_Hx3_uijjVETBHt0
SUCCESS,65,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_16sec,fl_layer_200064.png,https://drive.google.com/uc?export=download&id=1zK0PAmcBA10C7LFnJeq0wGLegdTaH5n7
SUCCESS,66,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_17sec,fl_layer_200065.png,https://drive.google.com/uc?export=download&id=1enBXsFg0jNqqS78lrEnfT13S4gXmDKvQ
SUCCESS,67,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_18sec,fl_layer_200066.png,https://drive.google.com/uc?export=download&id=1rRvZDwwcJQ84V-TQ00MFQu8X30D3Su8q
SUCCESS,68,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_11sec,fl_layer_200067.png,https://drive.google.com/uc?export=download&id=1eYsJWs8fHzMiCLHBsuUTnISac6Oqb2Pp
SUCCESS,69,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200068.png,https://drive.google.com/uc?export=download&id=1Y4womQ4oUMS6MYX8moE7BIIKhIhJoDv1
TIMED_OUT,70,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,525600min_0sec,fl_layer_200069.png,https://drive.google.com/uc?export=download&id=1K9V9dsgVjOU4ewTB20brboEWpy5GzKGK
SUCCESS,71,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_8sec,fl_layer_200070.png,https://drive.google.com/uc?export=download&id=1bdnQpH1yZlRVHpp8oJsNCLKn5UA6JbYs
SUCCESS,72,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_7sec,fl_layer_200071.png,https://drive.google.com/uc?export=download&id=1sd06fqrFMiYllvamia6XQLr7vrjwiOzl
SUCCESS,73,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_6sec,fl_layer_200072.png,https://drive.google.com/uc?export=download&id=1r4zsi6t_OCzH4ZVeuVGdPmuRlWfljEXT
SUCCESS,74,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_5sec,fl_layer_200073.png,https://drive.google.com/uc?export=download&id=1CNkgZiLDZrIhR_L6gbmH-x7myNzEGq41
SUCCESS,75,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_4sec,fl_layer_200074.png,https://drive.google.com/uc?export=download&id=1z7FtaflXpmJaOVBxAqhU9Icxce9pdvdp
SUCCESS,76,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_3sec,fl_layer_200075.png,https://drive.google.com/uc?export=download&id=10UmrLlk_0MqtUKSJ8cnhMK41iQvsuOFk
SUCCESS,77,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_2sec,fl_layer_200076.png,https://drive.google.com/uc?export=download&id=1zBAdygWwVcf5GGcxS07306xOn4rlCAEP
SUCCESS,78,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_1sec,fl_layer_200077.png,https://drive.google.com/uc?export=download&id=16NP8sBQ-FK-ShTQJhZSyoHIzEdV8j3cA
SUCCESS,79,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_0sec,fl_layer_200078.png,https://drive.google.com/uc?export=download&id=1mANu5ERDIWBaKBz6zG8Jo_qPOVpAN3YV
SUCCESS,80,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200079.png,https://drive.google.com/uc?export=download&id=1swWXhcJSKR63vbFhcWKE5dcF-Xcb5ojd
SUCCESS,81,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_12sec,fl_layer_200080.png,https://drive.google.com/uc?export=download&id=1uxpDSwSmsgpK7W766qv8WCsIMiutXGbF
SUCCESS,82,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_15sec,fl_layer_200081.png,https://drive.google.com/uc?export=download&id=1RZdMmUe0rn-cpIfsdg1iYc2y7Tf37buQ
SUCCESS,83,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_14sec,fl_layer_200082.png,https://drive.google.com/uc?export=download&id=1O6aCTm3ZNHUyY5H-xJuOAtRTE0irXIgw
SUCCESS,84,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_13sec,fl_layer_200083.png,https://drive.google.com/uc?export=download&id=19obDeTLiAr1F_eo8yrAvbPZco2nUZaBI
SUCCESS,85,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_16sec,fl_layer_200084.png,https://drive.google.com/uc?export=download&id=1YhCmS2mIaEaJuI-v1Gzywe5rvou9fqPy
SUCCESS,86,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_17sec,fl_layer_200085.png,https://drive.google.com/uc?export=download&id=1gmkARqAV5CU8SVBHwCtLG5gda3r4p2A2
SUCCESS,87,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_18sec,fl_layer_200086.png,https://drive.google.com/uc?export=download&id=1B9Zln55G1IGYzUidrZ6AytH1loIVxVRh
SUCCESS,88,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_11sec,fl_layer_200087.png,https://drive.google.com/uc?export=download&id=1yG_sx1M6uJFN2qiVBhxCpfWST2M-4auU
SUCCESS,89,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200088.png,https://drive.google.com/uc?export=download&id=1m1BmHyl0NToIepLr30x8F2XnWiqe3kIV
SUCCESS,90,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_9sec,fl_layer_200089.png,https://drive.google.com/uc?export=download&id=1vKrFMJjuqsxbvxgwDCpfKYIuvBrC5KwR
SUCCESS,91,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_8sec,fl_layer_200090.png,https://drive.google.com/uc?export=download&id=1J5n-ZsJ6mvbIZyPLEAL7yWqQZmau3-Yg
SUCCESS,92,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_7sec,fl_layer_200091.png,https://drive.google.com/uc?export=download&id=15dIKtf1njwTFY2aT2H4sUGuHSpAmUWMu
SUCCESS,93,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_6sec,fl_layer_200092.png,https://drive.google.com/uc?export=download&id=1KiWBwv_ppD1ZdRkGOIh8I0HrFVGAKI48
SUCCESS,94,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_5sec,fl_layer_200093.png,https://drive.google.com/uc?export=download&id=1xCgcZuZV5929sbU0zMe4lwymCoRh6pxM
SUCCESS,95,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_4sec,fl_layer_200094.png,https://drive.google.com/uc?export=download&id=1btWA2MK_XkVXCpfz12PzGpIbDvDeO7rB
SUCCESS,96,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_3sec,fl_layer_200095.png,https://drive.google.com/uc?export=download&id=1sWEh7AFR_0JzKhx02MKXjrWysEQAEFR8
SUCCESS,97,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_2sec,fl_layer_200096.png,https://drive.google.com/uc?export=download&id=1iFooFF5poeuOqp1DeagzsIiMWe0Pdt9B
SUCCESS,98,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_1sec,fl_layer_200097.png,https://drive.google.com/uc?export=download&id=1H5wHc71W1i8-i26nNXA5blfGQ7uDyyjA
SUCCESS,99,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_0sec,fl_layer_200098.png,https://drive.google.com/uc?export=download&id=1m7axuuIteIPUAFehF5mBm3CBeoxRYsxJ
SUCCESS,100,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200099.png,https://drive.google.com/uc?export=download&id=1Sz5FS4OdQfH5XInAWkZ7iTQgxoyEAtpM
SUCCESS,101,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_12sec,fl_layer_200100.png,https://drive.google.com/uc?export=download&id=1PTCrqT10Qww5xkqY-9HAily0ImCTgOks
SUCCESS,102,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_15sec,fl_layer_200101.png,https://drive.google.com/uc?export=download&id=18Q09K6WXK0GmHaRUv12A57kBWxEs0yLC
SUCCESS,103,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_14sec,fl_layer_200102.png,https://drive.google.com/uc?export=download&id=1e-S5kE0T_vdxP996Ao8PvivHmKCRcVVB
SUCCESS,104,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_13sec,fl_layer_200103.png,https://drive.google.com/uc?export=download&id=1-llJK5C_3aGk4pLvKEKZeOodpGbQkmyT
SUCCESS,105,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_16sec,fl_layer_200104.png,https://drive.google.com/uc?export=download&id=1Iw_mXwqNmNItZeeG__KttuE5kwPiH4ej
SUCCESS,106,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_17sec,fl_layer_200105.png,https://drive.google.com/uc?export=download&id=1khMczvnazcLDpdWiiLzwuCqaRwJItIe7
SUCCESS,107,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_18sec,fl_layer_200106.png,https://drive.google.com/uc?export=download&id=1KPNpRzZo3iS3p2POPhcpaOh4Psv3_fzT
SUCCESS,108,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_11sec,fl_layer_200107.png,https://drive.google.com/uc?export=download&id=1x1tE-xa_eubmOZkNl0tojen2RZkmHsan
SUCCESS,109,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200108.png,https://drive.google.com/uc?export=download&id=1FHwx-64eQ3kv1yDLUNMjb7675zZOahBs
SUCCESS,110,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_9sec,fl_layer_200109.png,https://drive.google.com/uc?export=download&id=1s2chqtSwlVTgHwxvUjRIc1UIQ2QdfOvK
SUCCESS,111,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_8sec,fl_layer_200110.png,https://drive.google.com/uc?export=download&id=1JoG7GPoX13FnQLx-ZeRgh1R6eshLOsgI
SUCCESS,112,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_7sec,fl_layer_200111.png,https://drive.google.com/uc?export=download&id=1Z7fIOeYwepHllSJD5EpczoKhV-2dLaB4
SUCCESS,113,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_6sec,fl_layer_200112.png,https://drive.google.com/uc?export=download&id=1WLvEs3LgrUCo60yHvLCjxTFz13Yb8nrz
SUCCESS,114,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_5sec,fl_layer_200113.png,https://drive.google.com/uc?export=download&id=1Su3Wgp4QCghc7Yr5rSIWFuxM0a_GMXHC
SUCCESS,115,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_4sec,fl_layer_200114.png,https://drive.google.com/uc?export=download&id=1hDO-Ahzh_grshkwaeW7y5rCB5HZdeVEe
SUCCESS,116,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_3sec,fl_layer_200115.png,https://drive.google.com/uc?export=download&id=1eichTayB01Qtalj7mt9N-CGTJE6crQTm
SUCCESS,117,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_2sec,fl_layer_200116.png,https://drive.google.com/uc?export=download&id=1F3SuCSmfFwRutt9WnvaiWOcp1nAe8CMb
SUCCESS,118,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_1sec,fl_layer_200117.png,https://drive.google.com/uc?export=download&id=1MIMksMBIIKqM7RZN9ozOK5KShKxvvglX
SUCCESS,119,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_0sec,fl_layer_200118.png,https://drive.google.com/uc?export=download&id=1v6j0e5xcR4AHFSRSVG9-lCKQ8D7EMQuC
